Date,MAGS.Close,TSLA.Close,GOOG.Close,AAPL.Close,MSFT.Close,AMZN.Close,META.Close,NVDA.Close
31/07/2024,45.0,232.1,173.1,222.1,418.4,187.0,474.8,117.0
01/08/2024,44.0,216.9,172.4,218.4,417.1,184.1,497.7,109.2
02/08/2024,42.5,207.7,168.4,219.9,408.5,167.9,488.1,107.3
05/08/2024,40.9,198.9,160.6,209.3,395.1,161.0,475.7,100.4
06/08/2024,41.4,200.6,160.5,207.2,399.6,161.9,494.1,104.3
07/08/2024,40.8,191.8,160.8,209.8,398.4,162.8,488.9,98.9
08/08/2024,42.1,198.8,163.8,213.3,402.7,165.8,509.6,105.0
09/08/2024,42.4,200.0,165.4,216.2,406.0,166.9,517.8,104.8
12/08/2024,42.6,197.5,163.9,217.5,406.8,166.8,516.0,109.0
13/08/2024,43.8,207.8,165.9,221.3,414.0,170.2,528.5,116.1
14/08/2024,43.5,201.4,162.0,221.7,416.9,170.1,526.8,118.1
15/08/2024,44.9,214.1,163.2,224.7,421.0,177.6,537.3,122.9
16/08/2024,44.9,216.1,164.7,226.1,418.5,177.1,527.4,124.6
19/08/2024,45.7,222.7,168.4,225.9,421.5,178.2,529.3,130.0
20/08/2024,45.5,221.1,169.0,226.5,424.8,178.9,526.7,127.3
21/08/2024,45.8,223.3,167.6,226.4,424.1,180.1,535.2,128.5
22/08/2024,44.6,210.7,165.5,224.5,415.5,176.1,531.9,123.7
23/08/2024,45.4,220.3,167.4,226.8,416.8,177.0,528.0,129.4
26/08/2024,44.8,213.2,167.9,227.2,413.5,175.5,521.1,126.5
27/08/2024,44.7,209.2,166.4,228.0,413.8,173.1,519.1,128.3
28/08/2024,44.1,205.8,164.5,226.5,410.6,170.8,516.8,125.6
29/08/2024,43.9,206.3,163.4,229.8,413.1,172.1,518.2,117.6
30/08/2024,44.6,214.1,165.1,229.0,417.1,178.5,521.3,119.4
03/09/2024,43.2,210.6,158.6,222.8,409.4,176.3,511.8,108.0
04/09/2024,43.3,219.4,157.8,220.9,408.9,173.3,512.7,106.2
05/09/2024,43.9,230.2,158.6,222.4,408.4,177.9,516.9,107.2
06/09/2024,42.2,210.7,152.1,220.8,401.7,171.4,500.3,102.8
09/09/2024,42.8,216.3,149.5,220.9,405.7,175.4,504.8,106.5
10/09/2024,43.5,226.2,150.0,220.1,414.2,179.6,504.8,108.1
11/09/2024,44.6,228.1,152.1,222.7,423.0,184.5,511.8,116.9
12/09/2024,45.2,229.8,155.5,222.8,427.0,187.0,525.6,119.1
13/09/2024,45.3,230.3,158.4,222.5,430.6,186.5,524.6,119.1
16/09/2024,44.8,226.8,159.0,216.3,431.3,184.9,533.3,116.8
17/09/2024,45.1,227.9,160.3,216.8,435.1,186.9,536.3,115.6
18/09/2024,45.0,227.2,160.8,220.7,430.8,186.4,538.0,113.4
19/09/2024,46.7,243.9,163.2,228.9,438.7,189.9,559.1,117.9
20/09/2024,46.5,238.3,164.6,228.2,435.3,191.6,561.3,116.0
23/09/2024,46.9,250.0,163.1,226.5,433.5,193.9,564.4,116.3
24/09/2024,47.2,254.3,163.6,227.4,429.2,194.0,563.3,120.9
25/09/2024,47.5,257.0,163.0,226.4,432.1,192.5,568.3,123.5
26/09/2024,47.3,254.2,163.8,227.5,431.3,191.2,567.8,124.0
27/09/2024,47.3,260.5,165.3,227.8,428.0,188.0,567.4,121.4
30/09/2024,47.7,261.6,167.2,233.0,430.3,186.3,572.4,121.4
01/10/2024,47.0,258.0,168.4,226.2,420.7,185.1,576.5,117.0
02/10/2024,46.7,249.0,167.3,226.8,417.1,184.8,572.8,118.8
03/10/2024,46.7,240.7,167.2,225.7,416.5,182.0,582.8,122.8
04/10/2024,47.5,250.1,168.6,226.8,416.1,186.5,595.9,124.9
07/10/2024,46.6,240.8,164.4,221.7,409.5,180.8,584.8,127.7
08/10/2024,47.5,244.5,165.7,225.8,414.7,182.7,592.9,132.9
09/10/2024,47.5,241.1,163.1,229.5,417.5,185.2,590.5,132.6
10/10/2024,47.5,238.8,163.2,229.0,415.8,186.6,583.8,134.8
11/10/2024,47.0,217.8,164.5,227.6,416.3,188.8,590.0,134.8
14/10/2024,47.5,219.2,166.4,231.3,419.1,187.5,590.4,138.1
15/10/2024,47.1,219.6,166.9,233.9,418.7,187.7,586.3,131.6
16/10/2024,47.2,221.3,166.7,231.8,416.1,186.9,576.8,135.7
17/10/2024,47.2,220.9,164.5,232.1,416.7,187.5,576.9,136.9
18/10/2024,47.4,220.7,165.1,235.0,418.2,189.0,576.5,138.0
21/10/2024,47.8,218.9,165.8,236.5,418.8,189.1,575.2,143.7
22/10/2024,48.0,218.0,166.8,235.9,427.5,189.7,582.0,143.6
23/10/2024,46.9,213.6,164.5,230.8,424.6,184.7,563.7,139.6
24/10/2024,48.3,260.5,164.5,230.6,424.7,186.4,567.8,140.4
25/10/2024,49.0,269.2,167.0,231.4,428.1,187.8,573.3,141.5
28/10/2024,48.9,262.5,168.3,233.4,426.6,188.4,578.2,140.5
29/10/2024,49.3,259.5,171.1,233.7,432.0,190.8,593.3,141.3
30/10/2024,49.4,257.5,176.1,230.1,432.5,192.7,591.8,139.3
31/10/2024,47.5,249.9,172.7,225.9,406.4,186.4,567.6,132.8
01/11/2024,48.0,249.0,172.6,222.9,410.4,197.9,567.2,135.4
04/11/2024,47.6,242.8,170.7,222.0,408.5,195.8,560.7,136.1
05/11/2024,48.5,251.4,171.4,223.4,411.5,199.5,572.4,139.9
06/11/2024,50.4,288.5,178.3,222.7,420.2,207.1,572.0,145.6
07/11/2024,51.6,296.9,182.3,227.5,425.4,210.1,591.7,148.9
08/11/2024,51.9,321.2,179.9,227.0,422.5,208.2,589.3,147.6
11/11/2024,52.3,350.0,182.0,224.2,418.0,206.8,583.2,145.3
12/11/2024,52.2,328.5,183.3,224.2,423.0,208.9,584.8,148.3
13/11/2024,52.1,330.2,180.5,225.1,425.2,214.1,580.0,146.3
14/11/2024,51.5,311.2,177.4,228.2,426.9,211.5,577.2,146.8
15/11/2024,50.5,320.7,173.9,225.0,415.0,202.6,554.1,142.0
18/11/2024,51.1,338.7,176.8,228.0,415.8,201.7,554.4,140.1
19/11/2024,52.0,346.0,179.6,228.3,417.8,204.6,561.1,147.0
20/11/2024,51.7,342.0,177.3,229.0,415.5,202.9,565.5,145.9
21/11/2024,51.1,339.6,169.2,228.5,412.9,198.4,563.1,146.7
22/11/2024,51.0,352.6,166.6,229.9,417.0,197.1,559.1,141.9
25/11/2024,50.8,338.6,169.4,232.9,418.8,201.4,565.1,136.0
26/11/2024,51.5,338.2,170.6,235.1,428.0,207.9,573.5,136.9
27/11/2024,51.0,332.9,170.8,234.9,423.0,205.7,569.2,135.3
29/11/2024,51.8,345.2,170.5,237.3,423.5,207.9,574.3,138.3
